handleId,fieldType,Name,Price,SKU,Image,Description,InStock
asics-gel-nyc-bodega-after-hours-1201A952-020,Product,ASICS Gel-NYC Bodega After-Hours,180.00,1201A952-020,https://image.goat.com/attachments/product_template_pictures/images/093/746/299/original/1286042_00.png.png,"The Bodega x ASICS GEL NYC ‘After-Hours’ showcases a subdued palette inspired by city living after the sun goes down. The lifestyle running shoe features a chain link-inspired mesh upper, fortified with nubuck and suede overlays in Plum Truffle and Mole. Translucent tiger stripes adorn the lateral quarter panel, while Bodega branding in Blazing Coral appears on the lateral heel. Contrasting pops of color arrive via a diamond knit collar lining in Patrician Purple and a suede back tab in Caliste Green. The sneaker sits atop a lightweight EVA midsole with glittery GEL pods in the forefoot and heel.",in_stock
asics-gel-1130-cream-kale-1201A974-100,Product,ASICS Gel-1130 Cream Kale,95.00,1201A974-100,https://image.goat.com/attachments/product_template_pictures/images/093/519/253/original/1275220_00.png.png,"The ASICS GEL 1130 ‘Cream Kale’ dresses the lifestyle runner in an airy off-white mesh upper with synthetic overlays in a metallic silver finish. Lush green accents land on the signature side stripes and padded textile lining, along with ASICS branding hits on the tongue and sockliner. Lightweight cushioning is provided by a crisp white EVA midsole, fitted with ASICS’ TRUSSTIC system for midfoot stability and a GEL insert in the heel for impact protection.",in_stock
asics-gel-nyc-cream-kale-1201A971-200,Product,ASICS Gel-NYC Cream Kale,130.00,1201A971-200,https://image.goat.com/attachments/product_template_pictures/images/093/829/354/original/1275218_00.png.png,"The ASICS GEL NYC ‘Cream Kale’ features an upper inspired by the GEL-NIMBUS 3 and GEL-MC PLUS V, highlighted by off-white mesh with leather overlays in a gleaming metallic silver finish — a familiar detail that references ASICS running style from the early 2000s. Green trim outlines the signature side stripes, matching the shoe’s eyelets and branding hits. A lightweight EVA midsole, borrowed from the GEL-CUMULUS 16, packs GEL cushioning in the forefoot and heel for a smooth and comfortable ride.",in_stock
asics-gel-lyte-iii-og-costs-cane-vine-1201A937-200,Product,ASICS Gel-Lyte III OG COSTS Cane Vine,150.00,1201A937-200,https://image.goat.com/attachments/product_template_pictures/images/091/996/464/original/1201A937_200.png.png,"The COSTS x ASICS Gel Lyte 3 OG ‘Cane Vine’ reunites the partner brands on an earthy colorway of the lifestyle running shoe. Inspired by lychee vines, the upper features suede paneling in contrasting brown and muted blue hues. Sand-colored hemp textile appears on the quarter panel, overlaid with tonal leather side stripes outlined in brown. Deco stitching enlivens the split tongue and collar, while mismatched COSTS and ASICS branding adorns the heel tab of each shoe. The sneaker rests on a full-length foam midsole with GEL cushioning in the heel.",in_stock
hal-studios-x-gel-1130-'glacier'-1201A982-200,Product,HAL STUDIOS x Gel 1130 'Glacier',170.00,1201A982-200,https://image.goat.com/attachments/product_template_pictures/images/092/057/216/original/1235500_00.png.png,"The HAL STUDIOS x ASICS Gel 1130 &#39;Glacier&#39; delivers the third and final installment of a collaborative series inspired by the natural world. Taking its cues from glacial environments worldwide, the lifestyle runner sports a chalk white open-mesh upper, fortified with leather overlays in ivory and black. Textural variety is provided by off-white hairy suede detailing on the side stripes and toe cap. The sneaker rides on a lightweight EVA midsole with visible Gel cushioning in the heel for improved impact protection.",in_stock
asics-gel-lyte-iii-'07-remastered-kith-marvel-x-me-1201A957-750,Product,ASICS Gel-Lyte III '07 Remastered Kith Marvel X-Men Wolverine 1980 Opened Box (Trading Card Not Included),195.00,1201A957-750,https://image.goat.com/attachments/product_template_pictures/images/091/513/654/original/1249398_00.png.png,"Commemorating the 60th anniversary of Marvel Comics’ X-Men franchise, the Kith x ASICS Gel Lyte 3 ‘Wolverine 1980’ pays homage to the diminutive mutant superhero with self-healing powers. Inspired by the character’s ‘80s-era suit, the upper combines yellow perforated suede with dark brown leather overlays and red leather side stripes. ‘Wolverine’ branding appears on the insole, while ‘X-Men’ and ‘Fieg’ are embroidered on the split tongue of each shoe. Anchoring the sneaker is a white EVA midsole, featuring Gel cushioning in the heel and a black rubber outsole underfoot.",in_stock
kith-x-marvel-x-gel-lyte-3-'07-remastered-'x-men-6-XMEN-KITH-GL3-GAMBIT,Product,Kith x Marvel x Gel Lyte 3 '07 Remastered 'X-Men 60th Anniversary - Gambit',195.00,XMEN-KITH-GL3-GAMBIT,https://image.goat.com/attachments/product_template_pictures/images/091/255/691/original/XMEN_KITH_GL3_GAMBIT.png.png,"Launching as part of a footwear collection celebrating the 60th anniversary of Marvel Comics’ X-Men franchise, the Kith x ASICS Gel Lyte 3 ‘Gambit’ takes inspiration from the mutant superhero with the power to manipulate kinetic energy. The lifestyle runner makes use of a smooth nubuck upper, featuring a beige base with salmon-colored overlays and crimson leather side stripes. ‘Fieg’ and ‘X-Men’ are embroidered on the split tongue of each shoe, while the sockliner is branded with a custom Gambit label. A full-length EVA midsole, finished in white with ASICS’ Gel technology in the heel, provides lightweight cushioning.",in_stock
asics-gel-lyte-iii-'07-remastered-kith-marvel-x-me-1201A962-200,Product,ASICS Gel-Lyte III '07 Remastered Kith Marvel X-Men Gambit Opened Box (Trading Card Not Included),195.00,1201A962-200,https://image.goat.com/attachments/product_template_pictures/images/091/704/284/original/1249399_00.png.png,"Launching as part of a footwear collection celebrating the 60th anniversary of Marvel Comics’ X-Men franchise, the Kith x ASICS Gel Lyte 3 ‘Gambit’ takes inspiration from the mutant superhero with the power to manipulate kinetic energy. The lifestyle runner makes use of a smooth nubuck upper, featuring a beige base with salmon-colored overlays and crimson leather side stripes. ‘Fieg’ and ‘X-Men’ are embroidered on the split tongue of each shoe, while the sockliner is branded with a custom Gambit label. A full-length EVA midsole, finished in white with ASICS’ Gel technology in the heel, provides lightweight cushioning.",in_stock
kith-x-marvel-x-gel-lyte-3-'07-remastered-'x-men-6-XMEN-KITH-GL3-CYCLOPS,Product,Kith x Marvel x Gel Lyte 3 '07 Remastered 'X-Men 60th Anniversary - Cyclops',195.00,XMEN-KITH-GL3-CYCLOPS,https://image.goat.com/attachments/product_template_pictures/images/091/255/688/original/XMEN_KITH_GL3_CYCLOPS.png.png,"The Kith x ASICS Gel Lyte 3 ‘Cyclops’ represents one of seven special-edition colorways celebrating the 60th anniversary of Marvel Comics’ X-Men franchise. Inspired by Cyclops’ laser eyes and suit, the lifestyle runner features a blue mesh upper with navy suede overlays, yellow leather side stripes and crimson eyelets. In addition to a ‘Cyclops’ label on the insole, unique branding hits include ‘X-Men’ and ‘Fieg’ embroidered on the split tongue of each shoe. The sneaker rests on a crisp white EVA midsole with Gel cushioning in the heel.",in_stock
asics-gel-lyte-iii-'07-remastered-kith-marvel-x-me-1201A961-400,Product,ASICS Gel-Lyte III '07 Remastered Kith Marvel X-Men Cyclops Opened Box (Trading Card Not Included),195.00,1201A961-400,https://image.goat.com/attachments/product_template_pictures/images/091/688/499/original/1249397_00.png.png,"The Kith x ASICS Gel Lyte 3 ‘Cyclops’ represents one of seven special-edition colorways celebrating the 60th anniversary of Marvel Comics’ X-Men franchise. Inspired by Cyclops’ laser eyes and suit, the lifestyle runner features a blue mesh upper with navy suede overlays, yellow leather side stripes and crimson eyelets. In addition to a ‘Cyclops’ label on the insole, unique branding hits include ‘X-Men’ and ‘Fieg’ embroidered on the split tongue of each shoe. The sneaker rests on a crisp white EVA midsole with Gel cushioning in the heel.",in_stock
